epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,2562.8,0.9586,0.56239,0.94431,0.73656,0.64953,0.70935,0.23355,2.36401,1.51576,2.28105,0.00054955,0.00054955,0.00054955
93,2589.92,0.92736,0.54742,0.92465,0.78239,0.65784,0.73136,0.25643,2.33818,1.45512,2.2058,0.0005446,0.0005446,0.0005446
94,2617.8,0.93294,0.53409,0.92768,0.73442,0.72204,0.74772,0.2542,2.37317,1.3212,2.32207,0.00053965,0.00053965,0.00053965
95,2645.34,0.93817,0.53943,0.92755,0.84426,0.67249,0.78952,0.26718,2.27647,1.30103,2.23079,0.0005347,0.0005347,0.0005347
96,2673.5,0.92889,0.55465,0.92614,0.76852,0.73086,0.78373,0.26614,2.273,1.33489,2.20392,0.00052975,0.00052975,0.00052975
97,2701.35,0.90527,0.53779,0.92571,0.76301,0.6736,0.73845,0.23854,2.36021,1.35194,2.31433,0.0005248,0.0005248,0.0005248
98,2729.84,0.90843,0.5386,0.92067,0.84842,0.66428,0.75273,0.26264,2.24094,1.37306,2.169,0.00051985,0.00051985,0.00051985
99,2757.46,0.88453,0.53178,0.9178,0.80013,0.66257,0.73628,0.26774,2.24391,1.39483,2.21159,0.0005149,0.0005149,0.0005149
100,2785.14,0.92373,0.54323,0.91349,0.82488,0.65671,0.72438,0.26925,2.22711,1.46253,2.18306,0.00050995,0.00050995,0.00050995
101,2812.76,0.90129,0.52134,0.92048,0.85895,0.63185,0.69765,0.24577,2.27652,1.51804,2.18106,0.000505,0.000505,0.000505
102,2840.39,0.89153,0.5167,0.91675,0.82472,0.63305,0.69616,0.25179,2.25948,1.50871,2.1521,0.00050005,0.00050005,0.00050005
103,2867.94,0.84589,0.50231,0.91225,0.86037,0.64442,0.7315,0.26659,2.21361,1.39158,2.11243,0.0004951,0.0004951,0.0004951
104,2895.76,0.8557,0.52495,0.91477,0.83338,0.68639,0.76041,0.28283,2.18238,1.35394,2.07597,0.00049015,0.00049015,0.00049015
105,2923.23,0.87475,0.52039,0.90493,0.79532,0.63475,0.72191,0.25263,2.332,1.40869,2.2838,0.0004852,0.0004852,0.0004852
106,2951.08,0.87731,0.50995,0.91174,0.74321,0.68085,0.7404,0.25465,2.29187,1.39163,2.22696,0.00048025,0.00048025,0.00048025
107,2979.28,0.89812,0.53085,0.91784,0.8569,0.64877,0.74853,0.26062,2.28512,1.38608,2.23682,0.0004753,0.0004753,0.0004753
108,3007.49,0.87204,0.51474,0.90442,0.82776,0.67078,0.75222,0.26259,2.27484,1.44637,2.20352,0.00047035,0.00047035,0.00047035
109,3034.89,0.87098,0.51117,0.9231,0.82553,0.65591,0.73666,0.26473,2.29094,1.4448,2.22179,0.0004654,0.0004654,0.0004654
110,3062.64,0.85504,0.50989,0.90029,0.76146,0.7153,0.75446,0.25688,2.29844,1.47108,2.19457,0.00046045,0.00046045,0.00046045
111,3090.02,0.82571,0.49029,0.89377,0.76555,0.70401,0.71511,0.23705,2.40696,1.42873,2.37245,0.0004555,0.0004555,0.0004555
112,3117.75,0.84929,0.49789,0.90414,0.8357,0.66584,0.7306,0.24769,2.37751,1.40373,2.34691,0.00045055,0.00045055,0.00045055
113,3145.73,0.86787,0.51116,0.90443,0.73282,0.68317,0.71088,0.23201,2.46585,1.4757,2.49775,0.0004456,0.0004456,0.0004456
114,3173.62,0.8414,0.49876,0.88367,0.77483,0.64545,0.72936,0.26129,2.34671,1.45265,2.3124,0.00044065,0.00044065,0.00044065
115,3201.71,0.83288,0.50062,0.89655,0.77801,0.64179,0.74457,0.25308,2.411,1.40709,2.40726,0.0004357,0.0004357,0.0004357
116,3229.46,0.82382,0.50035,0.88776,0.73774,0.69708,0.73669,0.2642,2.34559,1.34423,2.37976,0.00043075,0.00043075,0.00043075
117,3257.13,0.81094,0.49276,0.89861,0.77837,0.70595,0.76129,0.2704,2.32111,1.33149,2.37049,0.0004258,0.0004258,0.0004258
118,3284.69,0.81659,0.4963,0.87903,0.79781,0.70248,0.76681,0.26599,2.30072,1.31303,2.29443,0.00042085,0.00042085,0.00042085
119,3312.69,0.84221,0.49172,0.90454,0.83421,0.64884,0.74558,0.26277,2.31376,1.36383,2.30339,0.0004159,0.0004159,0.0004159
120,3340.71,0.79832,0.48961,0.88592,0.79707,0.63023,0.72702,0.24788,2.39352,1.37125,2.39717,0.00041095,0.00041095,0.00041095
121,3368.74,0.8031,0.48197,0.8779,0.74821,0.69346,0.77617,0.27744,2.2862,1.32295,2.28617,0.000406,0.000406,0.000406
122,3396.92,0.81165,0.48493,0.90101,0.84132,0.62381,0.78006,0.27955,2.2708,1.40616,2.23859,0.00040105,0.00040105,0.00040105
123,3424.8,0.80354,0.47783,0.87883,0.74692,0.66973,0.74541,0.26673,2.30932,1.45309,2.27428,0.0003961,0.0003961,0.0003961
124,3453.19,0.81118,0.49313,0.89759,0.76293,0.63911,0.70625,0.26256,2.23758,1.56068,2.15425,0.00039115,0.00039115,0.00039115
125,3481.08,0.82597,0.479,0.89263,0.8383,0.60667,0.69598,0.26804,2.22136,1.53344,2.13793,0.0003862,0.0003862,0.0003862
126,3508.99,0.79468,0.47378,0.87579,0.8592,0.62578,0.74367,0.27124,2.23517,1.46406,2.20138,0.00038125,0.00038125,0.00038125
127,3532.83,0.79954,0.47782,0.87399,0.86688,0.61981,0.74959,0.26941,2.2865,1.42213,2.26899,0.0003763,0.0003763,0.0003763
